group,team,position,reference_probability,reference_hits,team_only_mean,team_only_seed_sd,team_only_absolute_error,team_only_zero_seeds,observed_mean,observed_seed_sd,observed_absolute_error,observed_zero_seeds,gap_mean,gap_seed_sd,gap_absolute_error,gap_zero_seeds
16498,7,3,0.0011946,5973,0.0012754598403475887,0.00120983013101316,8.085984034758857e-05,5,0.00170686026309994,0.0001307230739068893,0.0005122602630999399,0,0.001399697755483174,8.89816859813789e-05,0.00020509775548317385,0
16498,7,4,0.0058068,29034,0.00582240804438848,0.002949238415308718,1.560804438848016e-05,0,0.008025584051976196,0.000355029531879278,0.0022187840519761965,0,0.006303974217536002,0.00024224671242836524,0.0004971742175360018,0
16498,7,5,0.0182776,91388,0.016277189306851188,0.0050162060941526245,0.0020004106931488137,0,0.02295863801518911,0.00047378957723418375,0.004681038015189109,0,0.01990473606591071,0.000494714544958066,0.0016271360659107087,0
16498,7,6,0.0457278,228639,0.04626065091977777,0.006621443140235924,0.0005328509197777692,0,0.05120531105048454,0.0010846106921507802,0.005477511050484538,0,0.04840874040597879,0.001121463547739097,0.002680940405978792,0
16498,7,7,0.0862138,431069,0.0854855581698533,0.006251331819200482,0.000728241830146692,0,0.08810763573521493,0.001877910121738539,0.001893835735214941,0,0.08823108240607326,0.001851664909162693,0.0020172824060732675,0
16498,7,8,0.1231064,615532,0.12660635369709455,0.012638818310516872,0.003499953697094549,0,0.11848714208074732,0.001957868521378976,0.0046192579192526895,0,0.12139777717553299,0.002291336256252227,0.0017086228244670154,0
16498,7,9,0.1385198,692599,0.13602386301295807,0.0104915598509035,0.0024959369870419246,0,0.13178564975027146,0.001412382543967752,0.006734150249728538,0,0.13480604670312965,0.0019581466667789103,0.003713753296870348,0
16498,7,10,0.1366158,683079,0.13772706632488702,0.008982962410281292,0.0011112663248870058,0,0.12972006750884477,0.0013068724235601314,0.006895732491155243,0,0.13355706430094205,0.0021084132496032733,0.0030587356990579573,0
16498,7,11,0.1221218,610609,0.1235601498593816,0.007833169449732768,0.001438349859381599,0,0.1175664809107519,0.0017121528809786418,0.004555319089248097,0,0.12121667938972362,0.0023672686140891043,0.0009051206102763804,0
16498,7,12,0.1007858,503929,0.09906008685112112,0.0068532078369553375,0.0017257131488788713,0,0.09994739674129975,0.001563667845611658,0.0008384032587002432,0,0.10242004288130131,0.001641667452460863,0.0016342428813013177,0
16498,7,13,0.0791718,395859,0.08048459115643286,0.008547011793486057,0.0013127911564328604,0,0.08023206213912715,0.00141499726759027,0.0010602621391271466,0,0.08124450014704512,0.0019881345264531488,0.002072700147045123,0
16498,7,14,0.0588902,294451,0.058834845026314496,0.00643292622540542,5.53549736855008e-05,0,0.0608819715760188,0.0011488294205391912,0.0019917715760188054,0,0.05958296060323796,0.0012661097258890265,0.0006927606032379602,0
16498,7,15,0.0408594,204297,0.04035943143192458,0.005854115841381439,0.0004999685680754165,0,0.04302232429642815,0.0008416794413864476,0.0021629242964281495,0,0.040697249829848764,0.0010316665326192433,0.00016215017015123318,0
16498,7,16,0.0255104,127552,0.023661713580575932,0.004063286638296471,0.001848686419424067,0,0.02710038039233767,0.0007635542580208607,0.0015899803923376706,0,0.024536886559909796,0.0007264205595531141,0.0009735134400902026,0
16498,7,17,0.0127434,63717,0.012503845139235475,0.0033488566349624146,0.0002395548607645251,0,0.014057191650183912,0.00042654628743306436,0.0013137916501839118,0,0.01186556022073985,0.0004987798425168852,0.0008778397792601495,0
16498,7,18,0.0041688,20844,0.0038267939717521403,0.0014804237930627273,0.00034200602824785995,0,0.00479872409500269,0.00013072651945824002,0.0006299240950026893,0,0.0038080609618004113,0.00010769594097489259,0.000360739038199589,0
16498,7,19,0.0002826,1413,0.0002487684608968539,0.0006231035973808515,3.3831539103146085e-05,16,0.0003920395052867742,4.682785503624393e-05,0.0001094395052867742,0,0.0004860130277943689,2.2789712398372134e-05,0.0002034130277943689,0
